city;akp;mhp;chp;iyi;hdp;sp;vekil;deva;gelecek;other
Adana;345;118;261;122;135;10;15;0;0;9
Adýyaman;551;91;120;52;153;16;5;0;0;17
Afyonkarahisar;554;140;144;135;11;11;6;0;0;5
Aðrý;286;24;28;16;626;8;4;0;0;12
Amasya;470;124;248;121;21;11;3;0;0;5
Ankara;404;132;262;122;63;15;36;0;0;2
Antalya;348;101;292;170;72;10;17;0;0;7
Artvin;404;102;321;103;48;15;2;0;0;7
Aydýn;323;80;341;149;93;7;8;0;0;7
Balýkesir;413;76;305;148;41;12;9;0;0;5
Bilecik;432;94;282;142;32;12;2;0;0;6
Bingöl;554;59;21;40;268;11;3;0;0;47
Bitlis;448;40;26;32;428;11;3;0;0;15
Bolu;521;150;203;86;19;15;3;0;0;6
Burdur;430;125;202;200;18;16;3;0;0;9
Bursa;461;108;227;125;56;17;20;0;0;6
Çanakkale;372;69;340;169;36;8;4;0;0;6
Çankýrý;593;197;66;119;9;11;2;0;0;5
Çorum;520;140;203;85;35;11;4;0;0;6
Denizli;406;92;281;166;39;8;7;0;0;8
Diyarbakýr;211;13;23;28;660;17;12;0;0;48
Edirne;284;50;456;157;35;10;4;0;0;8
Elazýð;546;136;107;77;100;18;5;0;0;16
Erzincan;447;187;256;41;55;11;2;0;0;3
Erzurum;549;186;43;82;119;18;6;0;0;3
Eskiþehir;389;99;324;133;41;11;6;0;0;3
Gaziantep;514;127;150;67;118;12;14;0;0;12
Giresun;536;109;178;145;14;13;4;0;0;5
Gümüþhane;569;207;73;114;12;20;2;0;0;5
Hakkari;198;37;35;13;705;5;3;0;0;7
Hatay;360;145;307;65;110;9;11;0;0;4
Isparta;478;131;165;185;20;15;4;0;0;6
Mersin;284;128;268;136;169;7;13;0;0;8
Ýstanbul;426;83;265;80;126;15;98;0;0;5
Ýzmir;285;63;415;109;115;8;28;0;0;5
Kars;378;72;143;74;320;7;3;0;0;6
Kastamonu;522;202;156;94;10;10;3;0;0;6
Kayseri;506;216;123;111;22;17;10;0;0;5
Kýrklareli;267;48;478;165;32;6;3;0;0;4
Kýrþehir;411;170;257;102;46;10;2;0;0;4
Kocaeli;483;114;200;103;73;22;14;0;0;5
Konya;595;155;95;90;35;23;15;0;0;7
Kütahya;549;186;126;107;10;18;5;0;0;4
Malatya;539;162;167;43;69;15;6;0;0;5
Manisa;400;115;264;136;69;9;10;0;0;7
Kahramanmaraþ;585;164;97;97;37;15;8;0;0;5
Mardin;302;26;31;11;597;8;6;0;0;25
Muðla;280;65;411;166;66;6;7;0;0;6
Muþ;330;37;23;43;539;9;3;0;0;19
Nevþehir;531;179;166;90;16;12;3;0;0;6
Niðde;438;209;202;119;16;12;3;0;0;4
Ordu;488;169;228;85;12;12;6;0;0;6
Rize;650;125;130;60;13;19;3;0;0;3
Sakarya;582;137;137;94;25;21;8;0;0;4
Samsun;520;163;173;109;16;14;9;0;0;5
Siirt;389;35;24;16;514;9;3;0;0;13
Sinop;553;72;243;93;18;11;2;0;0;10
Sivas;547;191;152;68;20;18;5;0;0;4
Tekirdað;346;75;384;118;65;8;8;0;0;4
Tokat;499;165;207;94;19;13;5;0;0;3
Trabzon;560;136;151;112;12;25;6;0;0;4
Tunceli;143;57;264;16;513;3;1;0;0;4
Þanlýurfa;527;93;37;18;290;13;14;0;0;22
Uþak;434;106;283;128;30;14;3;0;0;5
Van;316;30;25;12;597;8;8;0;0;12
Yozgat;534;249;116;74;12;12;4;0;0;3
Zonguldak;459;109;309;78;17;18;5;0;0;10
Aksaray;562;207;98;106;14;8;4;0;0;5
Bayburt;572;276;41;62;10;33;1;0;0;6
Karaman;536;150;162;116;14;16;3;0;0;6
Kýrýkkale;436;244;153;137;14;12;3;0;0;4
Batman;247;12;17;12;625;31;5;0;0;58
Þýrnak;179;39;26;18;707;5;4;0;0;36
Bartýn;470;171;255;59;16;21;2;0;0;8
Ardahan;370;67;259;51;234;10;2;0;0;9
Iðdýr;204;240;27;59;445;20;2;0;0;5
Yalova;440;78;288;98;79;13;3;0;0;4
Karabük;538;136;166;122;13;17;3;0;0;8
Kilis;504;205;146;102;21;14;2;0;0;8
Osmaniye;361;320;135;134;34;10;4;0;0;6
Düzce;561;188;145;68;19;15;3;0;0;4
